Rent,Beds,Baths,Type,Area_in_sqft,Rent_per_sqft,Rent_category,Furnishing,Age_of_listing_in_days,City,Latitude,Longitude
230000,2,2,0,1355,169.7416974,0,0,32,3,25.1539087,55.2075004
90000,1,2,0,754,119.3633952,2,1,89,3,25.0559446,55.20746503
75000,1,2,0,503,149.1053678,2,1,16,3,25.1541673,55.2906695
40000,2,3,0,1390,28.77697842,1,1,35,6,25.3050714,55.4511103
49999,2,4,0,1680,29.76130952,1,1,189,2,24.2248697,55.7452211
74850,2,2,0,1100,68.04545455,2,1,24,3,25.2142937,55.324569
14999,0,1,0,400,37.4975,1,1,32,6,25.3000012,55.4416176
50000,2,2,0,1600,31.25,1,1,63,0,24.476252,54.3726749
180000,2,2,0,1219,147.662018,0,0,75,3,25.0786415,55.1352524
90000,0,2,0,409,220.0488998,2,0,68,3,25.0690625,55.14116559
119999,1,2,0,891,134.6790123,2,1,43,3,25.0786415,55.1352524
75000,2,3,0,1200,62.5,2,1,36,0,24.4935984,54.40784051
23000,1,2,0,1200,19.16666667,1,1,15,1,25.3959704,55.53263474
105000,2,4,0,1950,53.84615385,2,1,147,0,24.4935984,54.40784051
65000,1,2,0,975,66.66666667,1,1,33,0,24.4177935,54.447876
115000,2,2,6,1824,63.04824561,2,1,58,3,25.05865715,55.24599921
230000,3,2,0,2083,110.4176668,0,0,121,3,25.197978,55.36037961
280000,3,2,0,1548,180.878553,0,1,27,3,25.197978,55.36037961
165000,2,2,0,1492,110.5898123,0,1,27,3,25.18942655,55.26481902
120000,1,2,0,729,164.6090535,2,1,52,3,25.21683265,55.30011609
340000,3,2,0,2583,131.6298877,0,0,23,3,25.0778021,55.13518095
155000,2,2,0,1049,147.7597712,0,1,53,3,25.09872095,55.25394009
135000,2,3,0,1227,110.0244499,2,1,23,3,25.21762295,55.27828309
120000,3,2,0,2300,52.17391304,2,1,24,3,25.23559045,55.29672026
120000,2,2,0,731,164.1586867,2,0,130,3,25.12689085,55.26387439
70000,3,3,0,2150,32.55813953,2,1,158,0,24.495946,54.381815
70000,1,1,0,833,84.03361345,2,0,60,0,24.4935984,54.40784051
80000,1,2,0,764,104.7120419,2,0,68,0,24.4935984,54.40784051
65000,0,2,0,443,146.7268623,1,0,31,3,25.18942655,55.26481902
110000,1,2,0,699,157.3676681,2,1,123,3,25.197978,55.36037961
85000,2,3,0,1259,67.51389992,2,0,77,0,24.42748265,54.62348762
290000,3,2,7,2258,128.4322409,0,1,23,3,25.05995825,55.18239788
89990,2,3,0,1850,48.64324324,2,1,181,0,24.4935984,54.40784051
100000,4,4,7,2600,38.46153846,2,1,28,0,24.3339589,54.5535564
60000,3,3,0,1600,37.5,1,1,72,0,24.495946,54.381815
230000,3,4,0,2378,96.71993272,0,1,54,0,24.48593095,54.60093933
79000,1,2,0,488,161.8852459,2,1,15,3,25.12689085,55.26387439
29999,0,1,0,500,59.998,1,1,80,0,24.44108515,54.38421822
185000,3,2,6,2015,91.81141439,0,1,62,3,25.0204108,55.2679936
53000,1,2,0,850,62.35294118,1,1,67,0,24.4200646,54.4628768
155000,3,2,6,2170,71.42857143,0,1,62,3,25.0315993,55.27568906
67999,1,2,0,797,85.31869511,2,1,69,3,25.0559446,55.20746503
84999,2,2,0,1200,70.8325,2,1,17,6,25.2963963,55.4421946
85000,1,1,0,705,120.5673759,2,0,40,0,24.4935984,54.40784051
80000,1,2,0,659,121.3960546,2,1,25,3,25.0559446,55.20746503
